"Identifier","Source String","Translation","Context","Labels","Max. Length"
"LANGUAGE","English","Deutsch","LANGUAGE
1Language to be translated into","",""
"CAT_NC_SUIT","{newestCatalogVersionString} created on {Updated}, downloaded on {Downloaded}","{newestCatalogVersionString} erstellt am {Updated}, heruntergeladen am {Downloaded}","CAT_NC_SUIT
Catalog.cs newestCatalog SettingsUIText","",""
"CAT_S_SUIT","unknown, catalog not loaded yet.","unbekannt, Katalog noch nicht geladen.","CAT_S_SUIT
Catalog.cs string SettingsUIText","",""
"HE_NAWIDAL_S","by","von","HE_NAWIDAL_S
HtmlExtension.cs NameAuthorWithIDAsLink string","",""
"HRT_DCV_H","WARNING:","WARNUNG:","HRT_DCV_H
HtmlReportTemplate.tt Different Catalog version Header","",""
"HRT_DCV_RNA","Results might not be accurate.","Die Ergebnisse sind möglicherweise nicht genau.","HRT_DCV_RNA
HtmlReportTemplate.tt Different Catalog version Resultsnotaccurate","",""
"HRT_DCV_T","The catalog is made for game version {CatalogGameVersion}.","Der Katalog wurde für die Spielversion {CatalogGameVersion} erstellt.","HRT_DCV_T
HtmlReportTemplate.tt Different Catalog version Text","",""
"HRT_DCV_YGIN","Your game is newer.","Dein Spiel ist neuer.","HRT_DCV_YGIN
HtmlReportTemplate.tt Different Catalog version Your game is newer","",""
"HRT_DCV_YGIO","Your game is older.","Dein Spiel ist älter.","HRT_DCV_YGIO
HtmlReportTemplate.tt Different Catalog version Your game is older","",""
"HRT_FS_P","The report includes {LocalSubscriptionCount} fake subscriptions.","Der Bericht enthält {LocalSubscriptionCount} unechte Abonnements.","HRT_FS_P
HtmlReportTemplate.tt Fake subscription plural","",""
"HRT_FS_S","The report includes {LocalSubscriptionCount} fake subscription.","Der Bericht enthält {LocalSubscriptionCount} unechtes Abonnement.","HRT_FS_S
HtmlReportTemplate.tt Fake subscription singular","",""
"HRT_GI_AM","Abandoned mods can still work fine. They're just unlikely to get updates.","Verwaiste Mods können immer noch gut funktionieren. Es ist aber unwahrscheinlich, dass sie Updates bekommen.","HRT_GI_AM
HtmlReportTemplate.tt General information Abandondedmod","",""
"HRT_GI_AR","Always READ the mod description on the Steam Workshop before subscribing.","LESE immer die Mod-Beschreibung auf dem Steam Workshop vor dem Abonnieren.","HRT_GI_AR
HtmlReportTemplate.tt General information Alwaysread","",""
"HRT_GI_ETD","Always EXIT TO DESKTOP and restart the game. Never exit to main menu!","Immer ZUM DESKTOP VERLASSEN und das Spiel neu starten. Nie in das Hauptmenü zurückkehren!","HRT_GI_ETD
HtmlReportTemplate.tt General information Exittodesktop","",""
"HRT_GI_HI","Having issues with a mod? Make a comment on its Workshop page so the author knows.","Hast du Probleme mit einer Mod? Schreibe einen Kommentar auf der Workshop-Seite, so dass der Autor informiert wird.","HRT_GI_HI
HtmlReportTemplate.tt General information Havingissues","",""
"HRT_GI_H","General information","Allgemeine Informationen","HRT_GI_H
HtmlReportTemplate.tt General information Header","",""
"HRT_GI_M","Found a mistake? Please fill out this {form}.","Du hast einen Fehler gefunden? Bitte fülle {form} aus.","HRT_GI_M
HtmlReportTemplate.tt General information mistake","",""
"HRT_GI_NU","NEVER (un)subscribe to anything while the game is running! This resets some mods.","Mods NIE abonnieren oder abbestellen während das Spiel läuft! Dies setzt einige Mods zurück.","HRT_GI_NU
HtmlReportTemplate.tt General information Neverunsubscribe","",""
"HRT_GI_NW","Mod compatible, but not working? Try unsubscribe and resubscribe (while not in game).","Eine Mod ist kompatibel, aber funktioniert nicht? Versuche die Mod abzubestellen und erneut zu abonnieren (während du nicht im Spiel bist).","HRT_GI_NW
HtmlReportTemplate.tt General information notworking","",""
"HRT_GI_WP","When playing with mods, save to a new savegame often and make frequent BACKUPS.","Wenn du mit Mods spielst, speichere oft in einem neuen Spielstand und mache häufig BACKUPS.","HRT_GI_WP
HtmlReportTemplate.tt General information Whenplaying","",""
