Identifier,"Source String",Translation,Context,Labels,"Max. Length"
LANGUAGE,English,Indonesia,"LANGUAGE
Language to be translated into",,
CAT_NC_SUIT,"{newestCatalogVersionString} created on {Updated}, downloaded on {Downloaded}","{newestCatalogVersionString} dibuat pada {Updated}, diunduh pada {Downloaded}","CAT_NC_SUIT
Catalog.cs newestCatalog SettingsUIText",,
CAT_S_SUIT,"unknown, catalog not loaded yet.","tidak diketahui, katalog belum dimuat.","CAT_S_SUIT
Catalog.cs string SettingsUIText",,
HE_NAWIDAL_S,by,oleh,"HE_NAWIDAL_S
HtmlExtension.cs NameAuthorWithIDAsLink string",,
HRT_DCV_H,WARNING:,PERINGATAN:,"HRT_DCV_H
HtmlReportTemplate.tt Different Catalog version Header",,
HRT_DCV_RNA,"Results might not be accurate.","Hasil mungkin tidak akurat.","HRT_DCV_RNA
HtmlReportTemplate.tt Different Catalog version Resultsnotaccurate",,
HRT_DCV_T,"The catalog is made for game version {CatalogGameVersion}.","Katalog dibuat untuk versi game {CatalogGameVersion}.","HRT_DCV_T
HtmlReportTemplate.tt Different Catalog version Text",,
HRT_DCV_YGIN,"Your game is newer.","Game Anda lebih baru.","HRT_DCV_YGIN
HtmlReportTemplate.tt Different Catalog version Your game is newer",,
HRT_DCV_YGIO,"Your game is older.","Game Anda lebih lama.","HRT_DCV_YGIO
HtmlReportTemplate.tt Different Catalog version Your game is older",,
HRT_FS_P,"The report includes {LocalSubscriptionCount} fake subscriptions.","Laporan tersebut menyertakan {LocalSubscriptionCount} langganan palsu.","HRT_FS_P
HtmlReportTemplate.tt Fake subscription plural",,
HRT_FS_S,"The report includes {LocalSubscriptionCount} fake subscription.","Laporan tersebut menyertakan {LocalSubscriptionCount} langganan palsu.","HRT_FS_S
HtmlReportTemplate.tt Fake subscription singular",,
HRT_GI_AM,"Abandoned mods can still work fine. They're just unlikely to get updates.","Mod yang terbengkalai masih bisa berfungsi dengan baik. Mereka tidak mungkin mendapatkan pembaruan.","HRT_GI_AM
HtmlReportTemplate.tt General information Abandondedmod",,
