Identifier,"Source String",Translation,Context,Labels,"Max. Length"
LANGUAGE,English,Italiano,"LANGUAGE
Language to be translated into",,
CAT_NC_SUIT,"{newestCatalogVersionString} created on {Updated}, downloaded on {Downloaded}","{newestCatalogVersionString} creato il {Updated}, scaricato il {Downloaded}","CAT_NC_SUIT
Catalog.cs newestCatalog SettingsUIText",,
CAT_S_SUIT,"unknown, catalog not loaded yet.","sconosciuto, catalogo non ancora caricato.","CAT_S_SUIT
Catalog.cs string SettingsUIText",,
HE_NAWIDAL_S,by,da,"HE_NAWIDAL_S
HtmlExtension.cs NameAuthorWithIDAsLink string",,
HRT_DCV_H,WARNING:,ATTENZIONE:,"HRT_DCV_H
HtmlReportTemplate.tt Different Catalog version Header",,
HRT_DCV_RNA,"Results might not be accurate.","I risultati potrebbero non essere accurati.","HRT_DCV_RNA
HtmlReportTemplate.tt Different Catalog version Resultsnotaccurate",,
HRT_DCV_T,"The catalog is made for game version {CatalogGameVersion}.","Il catalogo è stato realizzato per la versione di gioco {CatalogGameVersion}.","HRT_DCV_T
HtmlReportTemplate.tt Different Catalog version Text",,
HRT_DCV_YGIN,"Your game is newer.","La tua partita è più recente.","HRT_DCV_YGIN
HtmlReportTemplate.tt Different Catalog version Your game is newer",,
HRT_DCV_YGIO,"Your game is older.","La tua partita è più vecchia.","HRT_DCV_YGIO
HtmlReportTemplate.tt Different Catalog version Your game is older",,
HRT_FS_P,"The report includes {LocalSubscriptionCount} fake subscriptions.","Il report include {LocalSubscriptionCount} false sottoscrizioni.","HRT_FS_P
HtmlReportTemplate.tt Fake subscription plural",,
HRT_FS_S,"The report includes {LocalSubscriptionCount} fake subscription.","Il report include {LocalSubscriptionCount} falsa sottoscrizione.","HRT_FS_S
HtmlReportTemplate.tt Fake subscription singular",,
HRT_GI_AM,"Abandoned mods can still work fine. They're just unlikely to get updates.","Le mod abbandonate possono ancora funzionare bene. È solo improbabile che vengano aggiornate.","HRT_GI_AM
HtmlReportTemplate.tt General information Abandondedmod",,
