Identifier,"Source String",Translation,Context,Labels,"Max. Length"
LANGUAGE,English,Polski,"LANGUAGE
Language to be translated into",,
CAT_NC_SUIT,"{newestCatalogVersionString} created on {Updated}, downloaded on {Downloaded}","{newestCatalogVersionString} utworzony {Updated}, pobrany {Downloaded}","CAT_NC_SUIT
Catalog.cs newestCatalog SettingsUIText",,
CAT_S_SUIT,"unknown, catalog not loaded yet.","nieznany, katalog nie został jeszcze załadowany.","CAT_S_SUIT
Catalog.cs string SettingsUIText",,
HE_NAWIDAL_S,by,autorstwa,"HE_NAWIDAL_S
HtmlExtension.cs NameAuthorWithIDAsLink string",,
HRT_DCV_H,WARNING:,OSTRZEŻENIE:,"HRT_DCV_H
HtmlReportTemplate.tt Different Catalog version Header",,
HRT_DCV_RNA,"Results might not be accurate.","Wyniki mogą nie być dokładne.","HRT_DCV_RNA
HtmlReportTemplate.tt Different Catalog version Resultsnotaccurate",,
HRT_DCV_T,"The catalog is made for game version {CatalogGameVersion}.","Katalog jest wykonany dla gry w wersji {CatalogGameVersion}.","HRT_DCV_T
HtmlReportTemplate.tt Different Catalog version Text",,
HRT_DCV_YGIN,"Your game is newer.","Twoja gra jest nowsza.","HRT_DCV_YGIN
HtmlReportTemplate.tt Different Catalog version Your game is newer",,
HRT_DCV_YGIO,"Your game is older.","Twoja gra jest starsza.","HRT_DCV_YGIO
HtmlReportTemplate.tt Different Catalog version Your game is older",,
HRT_FS_P,"The report includes {LocalSubscriptionCount} fake subscriptions.","Raport zawiera {LocalSubscriptionCount} fałszywych subskrypcji.","HRT_FS_P
HtmlReportTemplate.tt Fake subscription plural",,
HRT_FS_S,"The report includes {LocalSubscriptionCount} fake subscription.","Raport zawiera {LocalSubscriptionCount} fałszywą subskrypcję.","HRT_FS_S
HtmlReportTemplate.tt Fake subscription singular",,
HRT_GI_AM,"Abandoned mods can still work fine. They're just unlikely to get updates.","Porzucone modyfikacje mogą nadal działać w porządku. Jest mało prawdopodobne, aby dostały aktualizacje w przyszłości.","HRT_GI_AM
HtmlReportTemplate.tt General information Abandondedmod",,
HRT_GI_AR,"Always READ the mod description on the Steam Workshop before subscribing.","Przed subskrypcją zawsze PRZECZYTAJ opis modyfikacji w Warsztacie Steam.","HRT_GI_AR
HtmlReportTemplate.tt General information Alwaysread",,
HRT_GI_BML,"The list of {linkBrokenMods} can help you not to subscribe such at all.","Lista {linkBrokenMods} wskazuje modyfikacje, których należy unikać.","HRT_GI_BML
HtmlReportTemplate.tt General information BrokenModList",,
HRT_GI_ETD,"Always EXIT TO DESKTOP and restart the game. Never exit to main menu!","Zawsze WYCHODŹ DO PULPITU i uruchamiaj ponownie grę. Nigdy nie wychodź do głównego menu!","HRT_GI_ETD
HtmlReportTemplate.tt General information Exittodesktop",,
HRT_GI_M,"Found a mistake? Please fill out this {form}.","Znalazłeś błąd? Proszę wypełnić ten formularz {form}.","HRT_GI_M
HtmlReportTemplate.tt General information Form",,
HRT_GI_HI,"Having issues with a mod? Make a comment on its Workshop page so the author knows.","Masz problemy z modyfikacją? Napisz komentarz na stronie modyfikacji w Warsztacie, aby autor się o tym dowiedział.","HRT_GI_HI
HtmlReportTemplate.tt General information Havingissues",,
HRT_GI_H,"General information","Informacje ogólne","HRT_GI_H
HtmlReportTemplate.tt General information Header",,
HRT_GI_NU,"NEVER (un)subscribe to anything while the game is running! This resets some mods.","NIGDY nie (od)subskrybuj modyfikacji, gdy gra jest uruchomiona! To może zresetować niektóre modyfikacje.","HRT_GI_NU
HtmlReportTemplate.tt General information Neverunsubscribe",,
HRT_GI_NW,"Mod compatible, but not working? Try unsubscribe and resubscribe (while not in game).","Modyfikacja kompatybilna, ale nie działa? Spróbuj anulować subskrypcję i subskrybować ponownie (gdy gra nie jest uruchomiona).","HRT_GI_NW
HtmlReportTemplate.tt General information notworking",,
HRT_GI_RML,"The list of {linkRecommendedMods} helps to decide which mods to subscribe.","Lista {linkRecommendedMods} pomaga zdecydować, które modyfikacje są warte zasubskrybowania.","HRT_GI_RML
HtmlReportTemplate.tt General information RecommendedModList",,
HRT_GI_WP,"When playing with mods, save to a new savegame often and make frequent BACKUPS.","Podczas grania z modyfikacjami twórz nowe zapisy (nie nadpisuj pliku!), a także ich kopie zapasowe.","HRT_GI_WP
HtmlReportTemplate.tt General information Whenplaying",,
