Identifier,"Source String",Translation,Context,Labels,"Max. Length"
LANGUAGE,English,Русский,"LANGUAGE
Language to be translated into",,
CAT_NC_SUIT,"{newestCatalogVersionString} created on {Updated}, downloaded on {Downloaded}","{newestCatalogVersionString} создан {Updated}, загружен {Downloaded}","CAT_NC_SUIT
Catalog.cs newestCatalog SettingsUIText",,
CAT_S_SUIT,"unknown, catalog not loaded yet.","неизвестно, каталог еще не загружен.","CAT_S_SUIT
Catalog.cs string SettingsUIText",,
HE_NAWIDAL_S,by,от,"HE_NAWIDAL_S
HtmlExtension.cs NameAuthorWithIDAsLink string",,
HRT_DCV_H,WARNING:,ПРЕДУПРЕЖДЕНИЕ:,"HRT_DCV_H
HtmlReportTemplate.tt Different Catalog version Header",,
HRT_DCV_RNA,"Results might not be accurate.","Результаты могут быть неточными.","HRT_DCV_RNA
HtmlReportTemplate.tt Different Catalog version Resultsnotaccurate",,
HRT_DCV_T,"The catalog is made for game version {CatalogGameVersion}.","Каталог создан для игры версии {CatalogGameVersion}.","HRT_DCV_T
HtmlReportTemplate.tt Different Catalog version Text",,
HRT_DCV_YGIN,"Your game is newer.","Ваша игра новее.","HRT_DCV_YGIN
HtmlReportTemplate.tt Different Catalog version Your game is newer",,
HRT_DCV_YGIO,"Your game is older.","Ваша игра старше.","HRT_DCV_YGIO
HtmlReportTemplate.tt Different Catalog version Your game is older",,
HRT_FS_P,"The report includes {LocalSubscriptionCount} fake subscriptions.","Отчет содержит {LocalSubscriptionCount} поддельных подписок.","HRT_FS_P
HtmlReportTemplate.tt Fake subscription plural",,
HRT_FS_S,"The report includes {LocalSubscriptionCount} fake subscription.","Отчет включает в себя {LocalSubscriptionCount} поддельную подписку.","HRT_FS_S
HtmlReportTemplate.tt Fake subscription singular",,
HRT_GI_AM,"Abandoned mods can still work fine. They're just unlikely to get updates.","Заброшенные моды всё ещё могут работать нормально. Просто они навряд ли будут получать обновления.","HRT_GI_AM
HtmlReportTemplate.tt General information Abandondedmod",,
HRT_GI_AR,"Always READ the mod description on the Steam Workshop before subscribing.","Всегда ЧИТАЙТЕ описание мода в Мастерской Steam перед подпиской.","HRT_GI_AR
HtmlReportTemplate.tt General information Alwaysread",,
HRT_GI_BML,"The list of {linkBrokenMods} can help you not to subscribe such at all.","Список {linkBrokenMods} может помочь вам не подписаться на такое вовсе.","HRT_GI_BML
HtmlReportTemplate.tt General information BrokenModList",,
HRT_GI_ETD,"Always EXIT TO DESKTOP and restart the game. Never exit to main menu!","Всегда ВЫХОДИТЕ НА РАБОЧИЙ СТОЛ и перезапускайте игру. Никогда не выходите в главное меню!","HRT_GI_ETD
HtmlReportTemplate.tt General information Exittodesktop",,
HRT_GI_M,"Found a mistake? Please fill out this {form}.","Нашли ошибку? Пожалуйста, заполните {form}.","HRT_GI_M
HtmlReportTemplate.tt General information Form",,
