Identifier,"Source String",Translation,Context,Labels,"Max. Length"
LANGUAGE,English,简体中文,"LANGUAGE
Language to be translated into",,
CAT_NC_SUIT,"{newestCatalogVersionString} created on {Updated}, downloaded on {Downloaded}","{newestCatalogVersionString} 在 {Updated} 上创建，下载于 {Downloaded}","CAT_NC_SUIT
Catalog.cs newestCatalog SettingsUIText",,
CAT_S_SUIT,"unknown, catalog not loaded yet.",未知的目录尚未加载。,"CAT_S_SUIT
Catalog.cs string SettingsUIText",,
HE_NAWIDAL_S,by,由,"HE_NAWIDAL_S
HtmlExtension.cs NameAuthorWithIDAsLink string",,
HRT_DCV_H,WARNING:,警告：,"HRT_DCV_H
HtmlReportTemplate.tt Different Catalog version Header",,
HRT_DCV_RNA,"Results might not be accurate.",结果可能不准确。,"HRT_DCV_RNA
HtmlReportTemplate.tt Different Catalog version Resultsnotaccurate",,
HRT_DCV_T,"The catalog is made for game version {CatalogGameVersion}.","该目录是为游戏版本 {CatalogGameVersion} 制作的。","HRT_DCV_T
HtmlReportTemplate.tt Different Catalog version Text",,
HRT_DCV_YGIN,"Your game is newer.",您的游戏已更新。,"HRT_DCV_YGIN
HtmlReportTemplate.tt Different Catalog version Your game is newer",,
HRT_DCV_YGIO,"Your game is older.",你的游戏已经过时了。,"HRT_DCV_YGIO
HtmlReportTemplate.tt Different Catalog version Your game is older",,
HRT_FS_P,"The report includes {LocalSubscriptionCount} fake subscriptions.","报告包含 {LocalSubscriptionCount} 个假订阅。","HRT_FS_P
HtmlReportTemplate.tt Fake subscription plural",,
HRT_FS_S,"The report includes {LocalSubscriptionCount} fake subscription.","报告包含 {LocalSubscriptionCount} 个假订阅。","HRT_FS_S
HtmlReportTemplate.tt Fake subscription singular",,
HRT_GI_AM,"Abandoned mods can still work fine. They're just unlikely to get updates.",停更的模组仍可以运行，但未来继续更新的可能性很渺茫。,"HRT_GI_AM
HtmlReportTemplate.tt General information Abandondedmod",,
HRT_GI_AR,"Always READ the mod description on the Steam Workshop before subscribing.",订阅Steam工坊上的任何模组之前，请务必阅读它们的描述。,"HRT_GI_AR
HtmlReportTemplate.tt General information Alwaysread",,
HRT_GI_BML,"The list of {linkBrokenMods} can help you not to subscribe such at all.","{linkBrokenMods} 列表可以帮助您完全不订阅此类内容。","HRT_GI_BML
HtmlReportTemplate.tt General information BrokenModList",,
HRT_GI_ETD,"Always EXIT TO DESKTOP and restart the game. Never exit to main menu!",不要直接回到主菜单，请彻底关闭游戏进程并重新启动游戏！,"HRT_GI_ETD
HtmlReportTemplate.tt General information Exittodesktop",,
HRT_GI_M,"Found a mistake? Please fill out this {form}.","若是发现错误，请填写 {form}。","HRT_GI_M
HtmlReportTemplate.tt General information Form",,
HRT_GI_HI,"Having issues with a mod? Make a comment on its Workshop page so the author knows.",如果这个模组有点小问题，请在工坊的对应页面的评论区留言，以便作者获悉。,"HRT_GI_HI
HtmlReportTemplate.tt General information Havingissues",,
HRT_GI_H,"General information",基本信息,"HRT_GI_H
HtmlReportTemplate.tt General information Header",,
HRT_GI_NU,"NEVER (un)subscribe to anything while the game is running! This resets some mods.",绝对不能在游戏运行时订阅或取订任何东西！这可能导致某些模组被重置。,"HRT_GI_NU
HtmlReportTemplate.tt General information Neverunsubscribe",,
HRT_GI_NW,"Mod compatible, but not working? Try unsubscribe and resubscribe (while not in game).",如果模组兼容却又无法运行，请（在游戏未运行的状态下）尝试：先取消订阅，再重新订阅。,"HRT_GI_NW
HtmlReportTemplate.tt General information notworking",,
HRT_GI_RML,"The list of {linkRecommendedMods} helps to decide which mods to subscribe.","{linkRecommendedMods} 列表能帮助您决定订阅哪些模组。","HRT_GI_RML
HtmlReportTemplate.tt General information RecommendedModList",,
HRT_GI_WP,"When playing with mods, save to a new savegame often and make frequent BACKUPS.",使用这个模组时，请将游戏另存为一个新存档，并定期备份。,"HRT_GI_WP
HtmlReportTemplate.tt General information Whenplaying",,
HRT_IO_SOW,"WARNING: The latest review catalog could not be downloaded. Results might be outdated.",警告：无法下载最新的检查目录。结果可能已过时。,"HRT_IO_SOW
HtmlReportTemplate.tt Is outdated ShowOutdatedWarning",,
HRT_LIL_MAI,"Major Issues",主要问题,"HRT_LIL_MAI
HtmlReportTemplate.tt LI_Link majorIssues",,
HRT_LIL_MI,"Minor Issues",次要问题,"HRT_LIL_MI
HtmlReportTemplate.tt LI_Link minorIssues",,
HRT_LIL_NTR,"Nothing to report",没有要报告的内容,"HRT_LIL_NTR
HtmlReportTemplate.tt LI_Link nothingToReport",,
HRT_LIL_R,Remarks,备注,"HRT_LIL_R
HtmlReportTemplate.tt LI_Link remarks",,
HRT_LSM_E,"The report does not check for incompatibilities with these. Results might not be completely accurate. Use mods as Workshop subscription whenever possible. Mods copied to the local mods folder don't always work and often cannot be detected correctly by other mods.",报告没有检查这些模组的兼容性情况，结果可能不完全准确。尽可能地使用创意工坊订阅模组。将模组复制到本地模组文件夹并不总是能正常工作，并且通常无法被其他模组正确检测到。,"HRT_LSM_E
HtmlReportTemplate.tt Local subscription Mod Explain",,
HRT_LSM_P,"You have {LocalSubscriptionCount} local mods, which we can't review.","您有 {LocalSubscriptionCount} 个本地模组，我们无法检查。","HRT_LSM_P
HtmlReportTemplate.tt Local subscription Mod plural",,
HRT_LSM_S,"You have {LocalSubscriptionCount} local mod, which we can't review.","您有 {LocalSubscriptionCount} 个本地模组，我们无法检查。","HRT_LSM_S
HtmlReportTemplate.tt Local subscription Mod singular",,
HRT_NRS_N,"{NonReviewedSubscriptions} of your mods have not been reviewed yet. Some incompatibilities or warnings might be missing in the report due to this.","您有 {NonReviewedSubscriptions} 个模组尚未被检查。由于这个原因，报告中可能缺少一些不兼容性报告或警告。","HRT_NRS_N
HtmlReportTemplate.tt Non reviewed subscriptions Note",,
HRT_P_D,Disabled,已禁用,"HRT_P_D
HtmlReportTemplate.tt processed Disabled",,
HRT_P_MN,"Mod Name",模组名称,"HRT_P_MN
HtmlReportTemplate.tt processed Mod Name",,
HRT_P_PM,"Processed mods",已处理模组,"HRT_P_PM
HtmlReportTemplate.tt processed Processed mods",,
HRT_P_T,Type,类型,"HRT_P_T
HtmlReportTemplate.tt processed Type",,
HRT_P_U,URL,网址链接,"HRT_P_U
HtmlReportTemplate.tt processed Url",,
HRT_RS_MAIP,"MODS HAVE MAJOR ISSUES:",个有主要问题的模组：,"HRT_RS_MAIP
HtmlReportTemplate.tt RenderSection majorIssuesplural",,
HRT_RS_MAIS,"MOD HAS MAJOR ISSUES:",有主要问题的模组：,"HRT_RS_MAIS
HtmlReportTemplate.tt RenderSection majorIssuessingular",,
HRT_RS_MIP,"MODS HAVE MINOR ISSUES:",个有次要问题的模组：,"HRT_RS_MIP
HtmlReportTemplate.tt RenderSection minorIssuesplural",,
HRT_RS_MIS,"MOD HAS MINOR ISSUES:",有次要问题的模组：,"HRT_RS_MIS
HtmlReportTemplate.tt RenderSection minorIssuessingular",,
HRT_RS_NTRP,"MODS WITH NOTHING TO REPORT:",个无需报告的模组：,"HRT_RS_NTRP
HtmlReportTemplate.tt RenderSection nothingToReportplural",,
HRT_RS_NTRS,"MOD WITH NOTHING TO REPORT:",不需要报告的模组：,"HRT_RS_NTRS
HtmlReportTemplate.tt RenderSection nothingToReportsingular",,
