Identifier,"Source String",Translation,Context,Labels,"Max. Length"
LANGUAGE,English,繁體中文,"LANGUAGE
Language to be translated into",,
CAT_NC_SUIT,"{newestCatalogVersionString} created on {Updated}, downloaded on {Downloaded}","{newestCatalogVersionString} 在 {Updated} 上創建，下載於 {Downloaded}","CAT_NC_SUIT
Catalog.cs newestCatalog SettingsUIText",,
CAT_S_SUIT,"unknown, catalog not loaded yet.",未知的目錄尚未載入。,"CAT_S_SUIT
Catalog.cs string SettingsUIText",,
HE_NAWIDAL_S,by,由,"HE_NAWIDAL_S
HtmlExtension.cs NameAuthorWithIDAsLink string",,
HRT_DCV_H,WARNING:,警告：,"HRT_DCV_H
HtmlReportTemplate.tt Different Catalog version Header",,
HRT_DCV_RNA,"Results might not be accurate.",結果可能不準確。,"HRT_DCV_RNA
HtmlReportTemplate.tt Different Catalog version Resultsnotaccurate",,
HRT_DCV_T,"The catalog is made for game version {CatalogGameVersion}.","該目錄是為遊戲版本 {CatalogGameVersion} 所製作的。","HRT_DCV_T
HtmlReportTemplate.tt Different Catalog version Text",,
HRT_DCV_YGIN,"Your game is newer.",您的遊戲版本已更新。,"HRT_DCV_YGIN
HtmlReportTemplate.tt Different Catalog version Your game is newer",,
HRT_DCV_YGIO,"Your game is older.",你的遊戲版本已過時。,"HRT_DCV_YGIO
HtmlReportTemplate.tt Different Catalog version Your game is older",,
HRT_FS_P,"The report includes {LocalSubscriptionCount} fake subscriptions.","報告包含 {LocalSubscriptionCount} 個假訂閱。","HRT_FS_P
HtmlReportTemplate.tt Fake subscription plural",,
HRT_FS_S,"The report includes {LocalSubscriptionCount} fake subscription.","報告包含 {LocalSubscriptionCount} 個假訂閱。","HRT_FS_S
HtmlReportTemplate.tt Fake subscription singular",,
HRT_GI_AM,"Abandoned mods can still work fine. They're just unlikely to get updates.",停更的模組仍可運行，但未來繼續更新的可能性很渺茫。,"HRT_GI_AM
HtmlReportTemplate.tt General information Abandondedmod",,
HRT_GI_AR,"Always READ the mod description on the Steam Workshop before subscribing.",訂閱Steam工坊上的任何模組前，務必閱讀它們的描述。,"HRT_GI_AR
HtmlReportTemplate.tt General information Alwaysread",,
HRT_GI_BML,"The list of {linkBrokenMods} can help you not to subscribe such at all.","{linkBrokenMods} 列表可幫助您完全不訂閱此類內容。","HRT_GI_BML
HtmlReportTemplate.tt General information BrokenModList",,
HRT_GI_ETD,"Always EXIT TO DESKTOP and restart the game. Never exit to main menu!",不要直接回到主選單，請徹底關閉遊戲並重新啟動遊戲！,"HRT_GI_ETD
HtmlReportTemplate.tt General information Exittodesktop",,
HRT_GI_M,"Found a mistake? Please fill out this {form}.","若發現錯誤，請填寫 {form}。","HRT_GI_M
HtmlReportTemplate.tt General information Form",,
HRT_GI_HI,"Having issues with a mod? Make a comment on its Workshop page so the author knows.","如果此模組有點問題，請在 Steam 對應頁面的評論區留言，以便作者獲悉。","HRT_GI_HI
HtmlReportTemplate.tt General information Havingissues",,
HRT_GI_H,"General information",基本資訊,"HRT_GI_H
HtmlReportTemplate.tt General information Header",,
HRT_GI_NU,"NEVER (un)subscribe to anything while the game is running! This resets some mods.",絕對不能在遊戲運行時訂閱或取消訂閱任何東西！這可能導致某些模組被重置。,"HRT_GI_NU
HtmlReportTemplate.tt General information Neverunsubscribe",,
HRT_GI_NW,"Mod compatible, but not working? Try unsubscribe and resubscribe (while not in game).",如模組相容卻又無法運行，請（在遊戲未運行的狀態下）嘗試：先取消訂閱，再重新訂閱。,"HRT_GI_NW
HtmlReportTemplate.tt General information notworking",,
HRT_GI_RML,"The list of {linkRecommendedMods} helps to decide which mods to subscribe.","{linkRecommendedMods} 列表能幫助您決定訂閱哪些模組。","HRT_GI_RML
HtmlReportTemplate.tt General information RecommendedModList",,
HRT_GI_WP,"When playing with mods, save to a new savegame often and make frequent BACKUPS.",使用此模組時，請將遊戲另存為一個新存檔，並定期備份。,"HRT_GI_WP
HtmlReportTemplate.tt General information Whenplaying",,
HRT_IO_SOW,"WARNING: The latest review catalog could not be downloaded. Results might be outdated.",警告：無法下載最新的檢查目錄。結果可能已過時。,"HRT_IO_SOW
HtmlReportTemplate.tt Is outdated ShowOutdatedWarning",,
HRT_LIL_MAI,"Major Issues",主要問題,"HRT_LIL_MAI
HtmlReportTemplate.tt LI_Link majorIssues",,
HRT_LIL_MI,"Minor Issues",次要問題,"HRT_LIL_MI
HtmlReportTemplate.tt LI_Link minorIssues",,
HRT_LIL_NTR,"Nothing to report",無報告內容,"HRT_LIL_NTR
HtmlReportTemplate.tt LI_Link nothingToReport",,
HRT_LIL_R,Remarks,備註,"HRT_LIL_R
HtmlReportTemplate.tt LI_Link remarks",,
